,recipe_name,Ingredients,Ingredients_alpha
36,"[' Tajine de viande au fenouil (au blond)', '']",-    'agneau -   fenouil -   oignon   -   huile -   pois chiches   -   ma zena - jaune  œuf - citron -    poivre noir -sel  ,"['fenouil', ""'agneau"", 'poivre noir', 'huile', 'sel', 'pois chiches', 'jaune  œuf', 'citron', 'ma zena', 'oignon']"
37,"[' Tajine de viande aux haricots à ècosser', '']",-     mouton -   haricots à ècosser - oignons     -   tomates -   smen -   huile -   persil -   safran -    poivre noir -    cannelle -   gingembre -    sel  ,"['tomates', 'haricots à ècosser', 'persil', 'poivre noir', 'huile', 'oignons', 'gingembre', 'smen', 'sel', 'mouton', 'safran', 'cannelle']"
38,"[' Tajine de viande aux haricots verts (mqalli)', '']",-    'agneau -   haricots verts -   huile  -   farine -   safran -   gingembre -    sel -jus   citron - citron confit -   olives vertes confites  ,"['farine', 'haricots verts', ""'agneau"", 'jus   citron', 'citron confit', 'olives', 'huile', 'gingembre', 'sel', 'safran']"
39,"[' Tajine de viande aux mcharmel', '']",-      mouton - oignons     -    ail -   huile -    smen -   persil -    sel -   gingembre -   safran -    cumin -    poivre rouge -    poivre noir -   cannelle -jus   citron - citrons confits -   olives vertes confites  ,"['citrons confits', 'ail', 'jus   citron', 'olives', 'persil', 'poivre noir', 'huile', 'oignons', 'sel', 'smen', 'gingembre', 'poivre rouge', 'mouton', 'safran', 'cannelle', 'cumin']"
40,"[' Tajine de viande mhammar aux amandes', '']",-      mouton -   beurre -    ail -   oignons   -   farine -   coriandre -   safran -    sel -    gingembre -   cumin -   poivre rouge -   amandes   -  huile -   beurre  ,"['beurre', 'farine', 'ail', 'sel', 'oignons', 'gingembre', 'poivre rouge', 'huile', 'mouton', 'safran', 'amandes', 'coriandre', 'cumin']"
41,"[' Tajine de viande mhammar aux pommes de terre', '']",-      mouton -   beurre -    ail -   oignons   -   farine -   coriandre -  huile -   beurre -   safran -    sel -    gingembre -   cumin -   de poivre rouge -   pommes de terre -  huile -   beurre  ,"['beurre', 'farine', 'pommes de terre', 'ail', 'huile', 'oignons', 'sel', 'gingembre', 'de poivre rouge', 'mouton', 'safran', 'coriandre', 'cumin']"
42,"[' Tajine de viande mqalli', '']",-     'agneau -   oignons   -    ail -   huile -   beurre -   farine -   safran -   gigembre -sel - citron confit -   olives vertes confites  ,"['beurre', 'farine', 'ail', ""'agneau"", 'citron confit', 'olives', 'huile', 'oignons', 'sel', 'gigembre', 'safran']"
43,"[' Tajine de viande mhammar (sauce rouge)', '']",-      mouton -   beurre -    ail -   oignons   -   farine -   coriandre -   safran -    gingembre -   cumin -   poivre rouge -    sel -  huile -   beurre  ,"['beurre', 'farine', 'ail', 'poivre rouge', 'oignons', 'gingembre', 'sel', 'huile', 'mouton', 'safran', 'coriandre', 'cumin']"
44,"[' Tajine de viande aux navets', '']",-    'agneau -   navetes -   èpinared -   pois chiches   - oignons     -    ail -  huile -   cèleri -   persil -   concentrè de tomate -   de poivre rouge -   tabel -    poivre noir -    sel  ,"['tabel', 'ail', 'navetes', ""'agneau"", 'concentrè de tomate', 'èpinared', 'persil', 'poivre noir', 'huile', 'oignons', 'pois chiches', 'de poivre rouge', 'cèleri', 'sel']"
45,"[' Tajine de viande aux petits pois et aux œufs', 'Lham bel-djelbana wal-bayd', '']",-     mouton -      pois   - oignons verts -   huile -   smen -   sucre - œufs -   safran -    poivre noir -    cannelle -    sel  ,"['cannelle', 'œufs', 'poivre noir', 'huile', 'sel', 'smen', 'mouton', 'safran', 'sucre', 'oignons verts', 'pois']"
46,"[' Tajine de viande au riz et aux pois chiches', '']",-     moutoun -   riz -   pois chiches   -   oignons   -     persil -  brins de coriandre -   beurre -   safran -   poivre noir -    sel -jus   citron  ,"['beurre', 'jus   citron', 'moutoun', 'persil', 'poivre noir', 'sel', 'oignons', 'pois chiches', 'brins de coriandre', 'safran', 'riz']"
47,"[' Tajine de viande aux olives ""meslalla""', '']",- èpaule d'agneau -  huile - oignons     -   olives  -   coriandre -    ail - citrons confits -   amandes   - œufs   -   safran -   gingembre -   cannelle -     sel -   poivre noir -   beurre  ,"['citrons confits', 'beurre', 'ail', 'cannelle', 'olives', ""èpaule d'agneau"", 'œufs', 'poivre noir', 'huile', 'oignons', 'gingembre', 'sel', 'safran', 'amandes', 'coriandre']"
48,"[' Tajinde de viande aux petits pois', '']",-     mouton -     pois -   oignon   -   huile -   coriandre -   safran -    gingembre -    poivre noir -    sel - citron confit -   olives vertes confites  ,"['citron confit', 'olives', 'poivre noir', 'huile', 'gingembre', 'sel', 'mouton', 'oignon', 'safran', 'coriandre', 'pois']"
49,"[' Tajine de viande ""tfaia"" aux amandes et aux oeufs', '']",-      mouton -   huile -   smen -    ail - oignons     -   coriandre -   amandes   - œufs   -   gingembre -   safran -    sel -   beurre   amandes  ,"['ail', 'beurre   amandes', 'œufs', 'huile', 'oignons', 'gingembre', 'smen', 'sel', 'mouton', 'safran', 'amandes', 'coriandre']"
50,"[' Tajine de viande aux tomates', '']",-    'agneau -    tomates -   huile - oignons     -    ail -   persil -   coriandre -    gingembre -   cumin -    poivre rouge -     piment   moulu -   poivre noir -sel  ,"['tomates', 'ail', ""'agneau"", 'persil', 'poivre noir', 'huile', 'oignons', 'gingembre', 'poivre rouge', 'piment   moulu', 'sel', 'coriandre', 'cumin']"
51,"[' Tajine de viande mhammar en sauce blonde', '']",-      mouton - oignon     -   beurre - œufs   -   amondes   -   safran -   cannelle -    sel  ,"['beurre', 'amondes', 'œufs', 'sel', 'mouton', 'safran', 'cannelle', 'oignon']"
52,"[' Tajine de viande aux tomates et aux courgettes', '']",-    'agneau -   tomates -   courgettes -   huile - oignons     -    ail -   persil -   coriandre -    gingembre -    poivre rouge -   poivre noir -   cumin -     piment   moulu -sel  ,"['tomates', 'ail', ""'agneau"", 'persil', 'poivre noir', 'huile', 'oignons', 'gingembre', 'poivre rouge', 'piment   moulu', 'sel', 'courgettes', 'coriandre', 'cumin']"
53,"[' Tajine de viande aux topinambours (qadra)', '']",-    'agneau -   topinambours - gors oignon   -   persil -   beurre -   safran -   poivre noir -    sel -jus   citron  ,"['beurre', 'safran', ""'agneau"", 'jus   citron', 'persil', 'poivre noir', 'sel', 'gors oignon', 'topinambours']"
54,"[' Tezdam lagha', 'mouton frit', '']",-     mouton -   huile -   smen -   pois chiches   - oignon      -    poivre noir - œufs -   farine -huile    ,"['farine', 'œufs', 'poivre noir', 'huile', 'pois chiches', 'smen', 'mouton', 'oignon']"
55,"[' Tandjia', 'mouton brisè', '']",-      mouton  -   oignons -   tomates -   smen -   pois chiches      eau -   poivre noir -   persil -sel -  safran -  eau  ,"['tomates', 'eau', 'persil', 'poivre noir', 'sel', 'oignons', 'smen', 'pois chiches      eau', 'mouton', 'safran']"
56,"[' Viande de conserve au citron', '']",-     conserve -   de graisse khli' -  olives  meslalla  - bouqet de persil -    poivre rouge -   cumin -   piment   moulu -jus   citron  ,"['conserve', 'bouqet de persil', ""de graisse khli'"", 'jus   citron', 'olives', 'poivre rouge', 'piment   moulu', 'cumin']"
57,"[' Viande de conserve aux couges et aux lentilles', '']",-   lentilles -   courge rouge - gors oignon   -     conserve -    graisse de khli' -   poivre rouge -     piment   moulu -    sel - tomates  ,"['tomates', 'conserve', 'poivre rouge', 'gors oignon', 'sel', ""graisse de khli'"", 'piment   moulu', 'courge rouge', 'lentilles']"
58,"[' Viande de consevre aux tomates et pommes de terre', '']",-   tomates -     conserve  -   graisse de khli' - gors oignons   -   pommes de terre -    poivre rouge -   persil -     piment   moulu -sel  ,"['tomates', 'gors oignons', 'conserve', 'pommes de terre', 'persil', 'poivre rouge', 'sel', ""graisse de khli'"", 'piment   moulu']"
